Source IP,Source Port,Destination IP,Protocol,Timestamp,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
192.168.190.15,32802,192.168.190.10,6,2024-03-21 14:46:03,8090,5365.610122680664,2,1,132,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,36901.67482781604,559.11628526994,2.682805061340332,2.108454704284668,4.791259765625,0.5743503570556641,5.365610122680664,5.365610122680664,0.0,5.365610122680664,5.365610122680664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,372.74419017996,186.37209508998,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0.5,66.0,66.0,66.0,40,0.0,0.0,0.0,0.0,0.0,0.0,2,132,1,66,502,510,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.190.15,45994,192.168.190.10,6,2024-03-21 14:47:36,8090,2562.7613067626953,2,1,132,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,77260.41417806307,1170.6123360312588,1.2813806533813477,0.7673501968383789,2.0487308502197266,0.5140304565429688,2.5627613067626953,2.5627613067626953,0.0,2.5627613067626953,2.5627613067626953,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,780.4082240208392,390.2041120104196,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0.5,66.0,66.0,66.0,40,0.0,0.0,0.0,0.0,0.0,0.0,2,132,1,66,502,510,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.190.15,35878,192.168.190.10,6,2024-03-21 14:48:24,80,8985.042572021484,6,6,414,11341,84.0,66.0,69.0,6.708203932499369,2962.0,66.0,1890.1666666666667,1309.5159941325226,1308285.3982911427,1335.5529374303455,0.8168220520019531,2.0496241557210215,7.274627685546875,0.0,8.985042572021484,1.7970085144042969,2.784511305353612,7.274627685546875,0.0,1.2314319610595703,0.24628639221191406,0.19816660432973737,0.6084442138671875,0.07510185241699219,0,0,0,0,120,120,667.7764687151728,667.7764687151728,66,2962,979.5833333333334,1298.6918712261538,1686600.5763888888,1,0,0,0,0,0,0,0,1.0,979.5833333333334,69.0,1890.1666666666667,120,0.0,0.0,0.0,0.0,0.0,0.0,6,414,6,11341,502,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.190.15,57622,192.168.190.10,6,2024-03-21 14:48:24,8090,5009268.999099731,3,2,202,132,70.0,66.0,67.33333333333333,1.8856180831641267,66.0,66.0,66.0,0.0,66.67639531037895,0.9981496303948945,1252.3172497749329,2167.2796068905245,5006.155490875244,0.4932880401611328,5009.268999099731,2504.6344995498657,2502.0142793655396,5006.648778915405,2.620220184326172,5008.200168609619,5008.200168609619,0.0,5008.200168609619,5008.200168609619,0,0,0,0,60,40,0.5988897782369367,0.3992598521579578,66,70,66.8,1.5999999999999999,2.5599999999999996,1,0,0,0,0,0,0,0,0.6666666666666666,66.8,67.33333333333333,66.0,60,0.0,0.0,0.0,0.0,0.0,0.0,3,202,2,132,502,510,1,20,0.0,0.0,0.0,0.0,5006.155490875244,0.0,5006.155490875244,5006.155490875244
192.168.190.15,38572,192.168.190.10,6,2024-03-21 14:48:29,8090,41188.00163269043,5,5,356,897,84.0,66.0,71.2,7.11055553385247,625.0,66.0,179.4,222.8215429441238,30421.480779138084,242.7891522676623,4.576444625854492,11.355940030745955,36.63945198059082,0.0,41.01443290710449,10.253608226776123,15.93301175875429,37.80961036682129,0.0,40.921926498413086,10.230481624603271,15.282286929276763,36.63945198059082,0.3933906555175781,0,0,0,0,100,100,121.39457613383115,121.39457613383115,66,625,125.3,166.66376330804485,27776.809999999998,1,0,0,0,0,0,0,0,1.0,125.3,71.2,179.4,100,0.0,0.0,0.0,0.0,0.0,0.0,5,356,5,897,64240,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.190.15,38576,192.168.190.10,6,2024-03-21 14:48:29,8090,12932.062149047852,5,5,360,489,88.0,66.0,72.0,8.579044235810887,217.0,66.0,97.8,59.680482571775514,65650.7825445696,773.2718792057668,1.4368957943386502,2.1911862211802693,6.986379623413086,0.000476837158203125,12.532711029052734,3.1331777572631836,3.0048360903619975,7.890224456787109,0.000476837158203125,12.585163116455078,3.1462907791137695,2.606819226434166,6.986379623413086,0.457763671875,0,0,0,0,100,100,386.6359396028834,386.6359396028834,66,217,84.9,44.54312517100703,1984.0899999999997,1,0,0,0,0,0,0,0,1.0,84.9,72.0,97.8,100,0.0,0.0,0.0,0.0,0.0,0.0,5,360,5,489,64240,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.190.15,38580,192.168.190.10,6,2024-03-21 14:48:29,8090,12163.877487182617,5,5,360,2419,88.0,66.0,72.0,8.579044235810887,2147.0,66.0,483.8,831.6057719857408,228463.33358160686,822.106274133166,1.3515419430202908,1.9745766963811056,5.670070648193359,0.07390975952148438,11.849403381347656,2.962350845336914,2.4820242430514554,6.346225738525391,0.2655982971191406,11.52348518371582,2.880871295928955,2.4216826770814968,5.670070648193359,0.3218650817871094,0,0,0,0,100,100,411.053137066583,411.053137066583,66,2147,277.9,623.069570754342,388215.68999999994,1,0,0,0,0,0,0,0,1.0,277.9,72.0,483.8,100,0.0,0.0,0.0,0.0,0.0,0.0,5,360,5,2419,64240,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.190.15,38586,192.168.190.10,6,2024-03-21 14:48:29,8090,10613.203048706055,5,5,382,2753,110.0,66.0,76.4,17.083325203250098,2481.0,66.0,550.6,965.2049730497663,295386.7918679097,942.2226215882287,1.1792447831895616,2.2625662305725442,7.519006729125977,0.0002384185791015625,10.34402847290039,2.5860071182250977,3.2334998781428,8.131742477416992,0.0002384185791015625,10.139703750610352,2.534925937652588,2.913644721396519,7.519006729125977,0.26917457580566406,0,0,0,0,100,100,471.11131079411433,471.11131079411433,66,2481,313.5,722.6151465337549,522172.65,1,0,0,0,0,0,0,0,1.0,313.5,76.4,550.6,100,0.0,0.0,0.0,0.0,0.0,0.0,5,382,5,2753,64240,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.190.15,38596,192.168.190.10,6,2024-03-21 14:48:29,8090,7979.631423950195,5,5,370,2609,98.0,66.0,74.0,12.393546707863734,2337.0,66.0,521.8,907.6052886580158,373325.51363948727,1253.190713794855,0.886625713772244,1.2748756482995145,4.294157028198242,0.000476837158203125,7.475376129150391,1.8688440322875977,1.9701458532297773,5.147457122802734,0.000476837158203125,7.643699645996094,1.9109249114990234,1.5167128005740707,4.294157028198242,0.4565715789794922,0,0,0,0,100,100,626.5953568974275,626.5953568974275,66,2337,297.9,679.7659082360633,462081.69000000006,1,0,0,0,0,0,0,0,1.0,297.9,74.0,521.8,100,0.0,0.0,0.0,0.0,0.0,0.0,5,370,5,2609,64240,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.190.15,38600,192.168.190.10,6,2024-03-21 14:48:30,8090,7101.535797119141,5,5,352,2531,80.0,66.0,70.4,5.71314274283428,2259.0,66.0,506.2,876.4054769340502,405968.52319881826,1408.1461089102263,0.7890595330132378,0.9842633501998108,3.2346248626708984,0.0002384185791015625,6.948232650756836,1.737058162689209,1.4753573943742804,4.059791564941406,0.0002384185791015625,6.511926651000977,1.6279816627502441,1.1117390771983022,3.2346248626708984,0.41413307189941406,0,0,0,0,100,100,704.0730544551132,704.0730544551132,66,2259,288.3,656.9170495580094,431540.01000000007,1,0,0,0,0,0,0,0,1.0,288.3,70.4,506.2,100,0.0,0.0,0.0,0.0,0.0,0.0,5,352,5,2531,64240,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
